City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,changling,44.2653,124.0005,291.7,93,100,6.04,CN,1690115040
303,hammerfest,70.6634,23.6821,289.4,55,0,5.14,NO,1690115040
304,babolsar,36.7025,52.6576,305.33,66,41,2.93,IR,1690115040
305,gisborne,-38.6533,178.0042,279.92,87,16,3.21,NZ,1690115040
306,paracuru,-3.41,-39.0306,300.99,57,47,6.86,BR,1690115040
307,tuy hoa,13.0833,109.3,300.07,84,90,2.65,VN,1690115040
308,labytnangi,66.6572,66.4183,294.47,68,92,2.03,RU,1690115041
309,mahalingpur,16.3833,75.1167,295.91,89,100,8.67,IN,1690115041
310,kangasala,61.4638,24.076,293.89,56,81,3.18,FI,1690115041
311,ueda,36.4,138.2667,300.0,74,98,1.76,JP,1690115041
312,tipton,52.5296,-2.0677,295.75,78,84,6.65,GB,1690115041
313,mbandaka,0.0487,18.2603,305.1,47,95,0.83,CD,1690115041
314,tromso,69.6496,18.957,291.16,59,40,2.06,NO,1690115041
315,kachug,53.9606,105.8817,296.04,48,83,1.74,RU,1690115041
316,selfoss,63.9331,-20.9971,290.4,69,100,2.56,IS,1690115042
317,lakatoro,-16.0999,167.4164,295.77,79,100,5.03,VU,1690115042
318,greymouth,-42.4667,171.2,280.61,89,95,2.25,NZ,1690115042
319,talakan,50.3167,130.3667,291.09,98,100,3.91,RU,1690115042
320,bridgewater,44.3835,-64.5155,295.99,99,95,2.06,CA,1690114949
321,karratha,-20.7377,116.8463,293.48,23,0,6.79,AU,1690115043
322,dubbo,-32.25,148.6167,280.22,81,11,4.63,AU,1690115043
323,hampton bays,40.869,-72.5176,297.59,73,0,3.09,US,1690115043
324,ilhabela,-23.7781,-45.3581,295.54,57,0,0.95,BR,1690115043
325,zhangye,38.9342,100.4517,305.72,12,19,4.23,CN,1690114951
326,irymple,-34.25,142.1667,283.2,70,6,4.56,AU,1690115043
327,alice springs,-23.7,133.8833,278.9,65,0,4.12,AU,1690115044
328,tazovsky,67.4667,78.7,291.81,73,100,1.38,RU,1690115044
329,tralee,52.2704,-9.7026,289.29,94,100,2.57,IE,1690115044
330,khlevnoye,52.1951,39.0932,294.16,67,100,2.07,RU,1690115044
331,happy valley-goose bay,53.3168,-60.3315,295.32,73,75,1.54,CA,1690115044
332,beau vallon,-20.4189,57.6953,297.28,73,75,6.17,MU,1690115045
333,al burayqah,30.4062,19.5739,304.14,60,0,5.88,LY,1690115045
334,pundong,-7.9522,110.3486,296.46,80,80,4.49,ID,1690115045
335,senador pompeu,-5.5881,-39.3717,300.59,51,48,4.07,BR,1690115045
336,kish,26.5578,54.0194,312.3,42,83,6.17,IR,1690115045
337,zhezqazghan,47.7833,67.7667,309.47,14,20,7.0,KZ,1690115045
338,sao tome,0.3365,6.7273,301.17,69,75,5.14,ST,1690115045
339,abepura,-2.6333,140.5833,296.6,88,40,0.0,ID,1690115046
340,marathon,44.9,-89.7668,288.89,92,0,3.09,US,1690115044
341,yinchuan,38.4681,106.2731,306.75,11,78,3.11,CN,1690115046
342,egilsstadir,65.2653,-14.3948,283.1,87,100,1.54,IS,1690115046
343,liwa,24.5361,56.5656,306.59,65,85,4.16,OM,1690115046
344,smara,26.7384,-11.6719,304.67,32,3,8.23,EH,1690115046
345,praia da vitoria,38.7333,-27.0667,297.29,83,75,5.96,PT,1690115046
346,aripuana,-9.1667,-60.6333,295.63,45,5,1.27,BR,1690115046
347,helena valley west central,46.6629,-112.0604,290.64,44,0,1.34,US,1690115047
348,rameswaram,9.2833,79.3,301.15,83,66,10.22,IN,1690115047
349,yekaterinburg,56.8575,60.6125,293.92,60,40,4.0,RU,1690114876
350,iskushuban,10.2837,50.23,309.93,28,100,14.36,SO,1690115047
351,turpan,42.9333,89.1667,316.77,9,15,2.66,CN,1690115047
352,gadzhiyevo,69.2551,33.3362,282.82,80,100,7.12,RU,1690115047
353,barcelos,41.5388,-8.6151,296.86,51,100,3.67,PT,1690115047
354,letterkenny,54.95,-7.7333,289.11,67,100,5.01,IE,1690115048
355,sao paulo de olivenca,-3.3783,-68.8725,296.72,78,85,0.7,BR,1690115048
356,rongelap,11.1635,166.8941,301.88,74,25,7.12,MH,1690115048
357,port alfred,-33.5906,26.891,290.47,69,9,3.13,ZA,1690115048
358,kruisfontein,-34.0033,24.7314,288.09,68,33,8.42,ZA,1690115049
359,villa de soto,-30.8552,-64.9995,286.71,34,90,4.69,AR,1690115049
360,zaqatala,41.6336,46.6433,306.41,31,0,1.03,AZ,1690115049
361,kirensk,57.7853,108.1119,297.82,57,74,1.55,RU,1690115049
362,salalah,17.0151,54.0924,300.2,89,100,3.6,OM,1690114893
363,inarajan village,13.2736,144.7484,301.69,93,93,4.63,GU,1690115049
